Lake 1,Lake 2,CCM From,CCM To,E,LibSize,rho
Lake Huron,Lake Michigan,Lake Huron,Lake Michigan,2,220.0,0.9973982218713922
Lake Huron,Lake Erie,Lake Erie,Lake Huron,3,20.0,0.8335604515700377
Lake Huron,Lake Erie,Lake Erie,Lake Huron,3,40.0,0.8678643116329218
Lake Huron,Lake Erie,Lake Erie,Lake Huron,3,60.0,0.8814923214953234
Lake Huron,Lake Erie,Lake Erie,Lake Huron,3,80.0,0.8816184936189465
Lake Huron,Lake Erie,Lake Erie,Lake Huron,3,100.0,0.8878134187222484
Lake Huron,Lake Erie,Lake Erie,Lake Huron,3,120.0,0.8905038976753078
Lake Huron,Lake Erie,Lake Erie,Lake Huron,3,140.0,0.8926043819266051
Lake Huron,Lake Erie,Lake Erie,Lake Huron,3,160.0,0.8967302962555493
Lake Huron,Lake Erie,Lake Erie,Lake Huron,3,180.0,0.8991760961487503
Lake Huron,Lake Erie,Lake Erie,Lake Huron,3,200.0,0.9012267141836938
Lake Huron,Lake Erie,Lake Erie,Lake Huron,3,220.0,0.9025087947508463
Lake Huron,Lake Erie,Lake Huron,Lake Erie,3,20.0,0.8860424324928994
Lake Huron,Lake Erie,Lake Huron,Lake Erie,3,40.0,0.8973367692982783
Lake Huron,Lake Erie,Lake Huron,Lake Erie,3,60.0,0.9042057352667893
Lake Huron,Lake Erie,Lake Huron,Lake Erie,3,80.0,0.9050137026772754
Lake Huron,Lake Erie,Lake Huron,Lake Erie,3,100.0,0.9078591259166725
Lake Huron,Lake Erie,Lake Huron,Lake Erie,3,120.0,0.9076078467325172
Lake Huron,Lake Erie,Lake Huron,Lake Erie,3,140.0,0.9047917778687193
Lake Huron,Lake Erie,Lake Huron,Lake Erie,3,160.0,0.9071904133613916
Lake Huron,Lake Erie,Lake Huron,Lake Erie,3,180.0,0.9083280548866395
Lake Huron,Lake Erie,Lake Huron,Lake Erie,3,200.0,0.9079090056764118
Lake Huron,Lake Erie,Lake Huron,Lake Erie,3,220.0,0.9096254681011929
Lake Huron,Lake Ontario,Lake Ontario,Lake Huron,3,20.0,0.43249913852730704
Lake Huron,Lake Ontario,Lake Ontario,Lake Huron,3,40.0,0.5793275698202887
Lake Huron,Lake Ontario,Lake Ontario,Lake Huron,3,60.0,0.6698264572653145
Lake Huron,Lake Ontario,Lake Ontario,Lake Huron,3,80.0,0.6956182096513619
Lake Huron,Lake Ontario,Lake Ontario,Lake Huron,3,100.0,0.7136736180900849
Lake Huron,Lake Ontario,Lake Ontario,Lake Huron,3,120.0,0.7210405949125784
Lake Huron,Lake Ontario,Lake Ontario,Lake Huron,3,140.0,0.7377024025307137
Lake Huron,Lake Ontario,Lake Ontario,Lake Huron,3,160.0,0.7426126818909153
Lake Huron,Lake Ontario,Lake Ontario,Lake Huron,3,180.0,0.7526527471292923
Lake Huron,Lake Ontario,Lake Ontario,Lake Huron,3,200.0,0.7578350271130334
Lake Huron,Lake Ontario,Lake Ontario,Lake Huron,3,220.0,0.7631014313103461
Lake Huron,Lake Ontario,Lake Huron,Lake Ontario,3,20.0,0.2827782179061182
Lake Huron,Lake Ontario,Lake Huron,Lake Ontario,3,40.0,0.3036687395841237
Lake Huron,Lake Ontario,Lake Huron,Lake Ontario,3,60.0,0.34810045125588257
Lake Huron,Lake Ontario,Lake Huron,Lake Ontario,3,80.0,0.35414892295037276
Lake Huron,Lake Ontario,Lake Huron,Lake Ontario,3,100.0,0.3881489334802336
Lake Huron,Lake Ontario,Lake Huron,Lake Ontario,3,120.0,0.3731446636190543
Lake Huron,Lake Ontario,Lake Huron,Lake Ontario,3,140.0,0.3852724507730597
Lake Huron,Lake Ontario,Lake Huron,Lake Ontario,3,160.0,0.39139003393704763
Lake Huron,Lake Ontario,Lake Huron,Lake Ontario,3,180.0,0.3934596672307103
Lake Huron,Lake Ontario,Lake Huron,Lake Ontario,3,200.0,0.38679832921303164
Lake Huron,Lake Ontario,Lake Huron,Lake Ontario,3,220.0,0.3905786394646699
Lake Huron,Lake Woods,Lake Woods,Lake Huron,2,20.0,0.08102627346106113
Lake Huron,Lake Woods,Lake Woods,Lake Huron,2,40.0,0.12272287312405503
Lake Huron,Lake Woods,Lake Woods,Lake Huron,2,60.0,0.12645678505513902
Lake Huron,Lake Woods,Lake Woods,Lake Huron,2,80.0,0.13892112021233222
Lake Huron,Lake Woods,Lake Woods,Lake Huron,2,100.0,0.1536415379785968
Lake Huron,Lake Woods,Lake Woods,Lake Huron,2,120.0,0.17045728255333356
Lake Huron,Lake Woods,Lake Woods,Lake Huron,2,140.0,0.16484327040982533
Lake Huron,Lake Woods,Lake Woods,Lake Huron,2,160.0,0.1761013437339886
Lake Huron,Lake Woods,Lake Woods,Lake Huron,2,180.0,0.17427341474878602
Lake Huron,Lake Woods,Lake Woods,Lake Huron,2,200.0,0.1818145416816565
Lake Huron,Lake Woods,Lake Woods,Lake Huron,2,220.0,0.18018222249569335
Lake Huron,Lake Woods,Lake Huron,Lake Woods,2,20.0,0.05625553061328825
Lake Huron,Lake Woods,Lake Huron,Lake Woods,2,40.0,0.07105183408919816
Lake Huron,Lake Woods,Lake Huron,Lake Woods,2,60.0,0.11999985837888287
Lake Huron,Lake Woods,Lake Huron,Lake Woods,2,80.0,0.1443824387213226
Lake Huron,Lake Woods,Lake Huron,Lake Woods,2,100.0,0.1534521405314453
Lake Huron,Lake Woods,Lake Huron,Lake Woods,2,120.0,0.16975408520146368
Lake Huron,Lake Woods,Lake Huron,Lake Woods,2,140.0,0.15831524632135813
Lake Huron,Lake Woods,Lake Huron,Lake Woods,2,160.0,0.16174637209351422
Lake Huron,Lake Woods,Lake Huron,Lake Woods,2,180.0,0.16615983193943246
Lake Huron,Lake Woods,Lake Huron,Lake Woods,2,200.0,0.16698105986411954
Lake Huron,Lake Woods,Lake Huron,Lake Woods,2,220.0,0.1547332728124577
Lake Huron,Great Salt Lake,Great Salt Lake,Lake Huron,2,20.0,0.5973461869548813
Lake Huron,Great Salt Lake,Great Salt Lake,Lake Huron,2,40.0,0.5928681740907351
Lake Huron,Great Salt Lake,Great Salt Lake,Lake Huron,2,60.0,0.6033059612084422
Lake Huron,Great Salt Lake,Great Salt Lake,Lake Huron,2,80.0,0.6034055602323833
Lake Huron,Great Salt Lake,Great Salt Lake,Lake Huron,2,100.0,0.5996265061602355
Lake Huron,Great Salt Lake,Great Salt Lake,Lake Huron,2,120.0,0.6140181344879702
Lake Huron,Great Salt Lake,Great Salt Lake,Lake Huron,2,140.0,0.609033818589424
Lake Huron,Great Salt Lake,Great Salt Lake,Lake Huron,2,160.0,0.6093110912913329
Lake Huron,Great Salt Lake,Great Salt Lake,Lake Huron,2,180.0,0.6117075591543936
Lake Huron,Great Salt Lake,Great Salt Lake,Lake Huron,2,200.0,0.6023159575570665
Lake Huron,Great Salt Lake,Great Salt Lake,Lake Huron,2,220.0,0.601165430796605
Lake Huron,Great Salt Lake,Lake Huron,Great Salt Lake,2,20.0,0.5048602223816984
Lake Huron,Great Salt Lake,Lake Huron,Great Salt Lake,2,40.0,0.5081933464862891
Lake Huron,Great Salt Lake,Lake Huron,Great Salt Lake,2,60.0,0.49921140983388135
Lake Huron,Great Salt Lake,Lake Huron,Great Salt Lake,2,80.0,0.4938676644676308
Lake Huron,Great Salt Lake,Lake Huron,Great Salt Lake,2,100.0,0.4928310355912565
Lake Huron,Great Salt Lake,Lake Huron,Great Salt Lake,2,120.0,0.48116359603424214
Lake Huron,Great Salt Lake,Lake Huron,Great Salt Lake,2,140.0,0.48156524413486707
Lake Huron,Great Salt Lake,Lake Huron,Great Salt Lake,2,160.0,0.47885486683417045
Lake Huron,Great Salt Lake,Lake Huron,Great Salt Lake,2,180.0,0.480734682241487
Lake Huron,Great Salt Lake,Lake Huron,Great Salt Lake,2,200.0,0.4826939809428191
Lake Huron,Great Salt Lake,Lake Huron,Great Salt Lake,2,220.0,0.4790224083098115
Lake Huron,Lake Champlain,Lake Champlain,Lake Huron,3,20.0,0.33105981401288254
Lake Huron,Lake Champlain,Lake Champlain,Lake Huron,3,40.0,0.39285874730937875
Lake Huron,Lake Champlain,Lake Champlain,Lake Huron,3,60.0,0.4970853778904504
Lake Huron,Lake Champlain,Lake Champlain,Lake Huron,3,80.0,0.5198564509752761
